Model,CVScore,Task,SelectionMetric
4,0.8953674565975885,Facies,MacroF1
8,0.8911342609805978,Facies,MacroF1
12,0.8879660894898609,Facies,MacroF1
18,0.8855186369171774,Facies,MacroF1
9,0.885154136320906,Facies,MacroF1
22,0.8838541636430374,Facies,MacroF1
5,0.8838435178483003,Facies,MacroF1
10,0.8823951066995647,Facies,MacroF1
11,0.8790558489881587,Facies,MacroF1
15,0.8780190949347816,Facies,MacroF1
23,0.8747591849228554,Facies,MacroF1
21,0.8746126505589972,Facies,MacroF1
24,0.8692623947216198,Facies,MacroF1
19,0.8683677045966314,Facies,MacroF1
13,0.8634803455219758,Facies,MacroF1
20,0.8606430623074477,Facies,MacroF1
2,0.8488348956125615,Facies,MacroF1
6,0.8475788968497385,Facies,MacroF1
16,0.8451067104310889,Facies,MacroF1
7,0.8386585723055068,Facies,MacroF1
14,0.8377676804814573,Facies,MacroF1
1,0.8372053922054478,Facies,MacroF1
3,0.8357264300405588,Facies,MacroF1
25,0.826406767335225,Facies,MacroF1
17,0.7612158686432858,Facies,MacroF1
26,0.9870459277581909,Porosity,R2
27,0.9870011761459851,Porosity,R2
8,0.986991300870617,Porosity,R2
9,0.986943508313408,Porosity,R2
28,0.9866996011840268,Porosity,R2
13,0.9863507559218507,Porosity,R2
10,0.9860897466159133,Porosity,R2
20,0.9831707689276165,Porosity,R2
23,0.9830708956149415,Porosity,R2
21,0.9830290074468229,Porosity,R2
19,0.9812610566348687,Porosity,R2
15,0.9806270274047066,Porosity,R2
12,0.979925981708071,Porosity,R2
18,0.9795590021882319,Porosity,R2
30,0.9757965164833401,Porosity,R2
25,0.9749379051638641,Porosity,R2
1,0.9728782754138496,Porosity,R2
2,0.9687720884723944,Porosity,R2
29,0.9687070389280685,Porosity,R2
14,0.9675987056398586,Porosity,R2
31,0.9633432103029745,Porosity,R2
16,0.9627415373618985,Porosity,R2
11,0.9255738387174327,Porosity,R2
3,0.9038407939520295,Porosity,R2
17,0.8894723483339035,Porosity,R2
13,0.8291652494368985,Permeability,R2
10,0.8273329009290782,Permeability,R2
8,0.809908094456938,Permeability,R2
26,0.807437959321875,Permeability,R2
27,0.80604709757361,Permeability,R2
21,0.7953129642640615,Permeability,R2
19,0.7817438656175778,Permeability,R2
18,0.7782563909493726,Permeability,R2
15,0.7761989393848677,Permeability,R2
23,0.7746959682082366,Permeability,R2
12,0.7734177599958061,Permeability,R2
20,0.7717885139178827,Permeability,R2
28,0.7496677368992368,Permeability,R2
1,0.7385499258322173,Permeability,R2
2,0.7337401069363289,Permeability,R2
25,0.7315413955697531,Permeability,R2
30,0.7021396117249868,Permeability,R2
9,0.694323275884197,Permeability,R2
29,0.6847930542949149,Permeability,R2
14,0.6842404809295362,Permeability,R2
31,0.675577614016238,Permeability,R2
16,0.6541401454309089,Permeability,R2
11,0.5923352712309764,Permeability,R2
3,0.5816839010508817,Permeability,R2
17,0.5209314723257067,Permeability,R2
