Task,Model,Name,Well,Split,TrainingSamples,Accuracy,BalancedAccuracy,MacroF1,R2,MSE,RMSE,MAE
Facies,1,Fine DT,Well_1,development_cv,720,0.825,0.8012079167564631,0.8053730772869641,,,,
Facies,1,Fine DT,Well_2,development_cv,720,0.8194444444444444,0.8217298030730867,0.8016607884214775,,,,
Facies,1,Fine DT,Well_3,development_cv,720,0.9222222222222223,0.9048024684736227,0.9045823109079019,,,,
Facies,2,Medium DT,Well_1,development_cv,720,0.8388888888888889,0.8162111259990817,0.8216708914946144,,,,
Facies,2,Medium DT,Well_2,development_cv,720,0.8333333333333334,0.8353614417047253,0.8169209570328735,,,,
Facies,2,Medium DT,Well_3,development_cv,720,0.9222222222222223,0.9058429581158073,0.9079128383101968,,,,
Facies,3,Coarse DT,Well_1,development_cv,720,0.8583333333333333,0.8435904163113855,0.8435680100566587,,,,
Facies,3,Coarse DT,Well_2,development_cv,720,0.7805555555555556,0.7972542785975623,0.7738537537901378,,,,
Facies,3,Coarse DT,Well_3,development_cv,720,0.8972222222222223,0.900635801806956,0.8897575262748798,,,,
Facies,4,Linear DA,Well_1,development_cv,720,0.8777777777777778,0.8625249477619632,0.8688224153297683,,,,
Facies,4,Linear DA,Well_2,development_cv,720,0.8861111111111111,0.8836023294978519,0.8703977151736835,,,,
Facies,4,Linear DA,Well_3,development_cv,720,0.9583333333333334,0.9480101134711196,0.9468822392893139,,,,
Facies,5,Quadratic DA,Well_1,development_cv,720,0.8777777777777778,0.8625249477619632,0.8688224153297683,,,,
Facies,5,Quadratic DA,Well_2,development_cv,720,0.8527777777777777,0.8548256402734014,0.8360844504332108,,,,
Facies,5,Quadratic DA,Well_3,development_cv,720,0.9583333333333334,0.9462045579155641,0.9466236877819219,,,,
Facies,6,Gaussian NB,Well_1,development_cv,720,0.8666666666666667,0.8530389419337912,0.8559490307578619,,,,
Facies,6,Gaussian NB,Well_2,development_cv,720,0.7833333333333333,0.804951804951805,0.7777239244272212,,,,
Facies,6,Gaussian NB,Well_3,development_cv,720,0.9305555555555556,0.9070739171374764,0.9090637353641329,,,,
Facies,7,Kernel NB,Well_1,development_cv,720,0.8638888888888889,0.8490068916728354,0.8529392800429859,,,,
Facies,7,Kernel NB,Well_2,development_cv,720,0.7777777777777778,0.798283952889216,0.7716027799156059,,,,
Facies,7,Kernel NB,Well_3,development_cv,720,0.9138888888888889,0.8863662721399795,0.8914336569579288,,,,
Facies,8,Linear SVM,Well_1,development_cv,720,0.875,0.8609408234401207,0.8675409661363951,,,,
